Scan ID,Status,Name,Owner
29,imported,Linux Free Space Report audit,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
7,imported,Lab scan,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
37,imported,DataCenters Scan,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
25,imported,mp3 Windows Audit,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
31,imported,Azure TNS BP,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
33,imported,Mobile Device Scan,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
9,imported,Lab Agent scan,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
15,imported,Amazon AWS Audit,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
45,pending,Shared Nessus Network Monitor,system
21,imported,WebApp Only - No Credentials,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
23,imported,Imported AWS Credentialed Scan,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
27,imported,CIS Ubuntu Compliance,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
35,imported,PCI Quarterly External Scan,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
11,imported,Lab Agent scan,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
13,imported,Lab Scan - No Credentials,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
17,imported,Basic Network Scan with Credentials and Web,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
19,imported,Basic Network Scan with Credentials,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
39,completed,Demo PCI ASV External Scan,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
42,empty,Tenable Lab Target Public Scan,jmeneses.ctr@quick-lab-julian-meneses-2023-05-17-09-10-am.training
