Scan ID,Status,Name,Owner
35,imported,PCI Quarterly External Scan,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
17,imported,Basic Network Scan with Credentials and Web,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
9,imported,Lab Agent scan,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
29,imported,Linux Free Space Report audit,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
11,imported,Lab Agent scan,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
13,imported,Lab Scan - No Credentials,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
23,imported,Imported AWS Credentialed Scan,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
33,imported,Mobile Device Scan,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
27,imported,CIS Ubuntu Compliance,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
25,imported,mp3 Windows Audit,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
15,imported,Amazon AWS Audit,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
37,imported,DataCenters Scan,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
7,imported,Lab scan,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
19,imported,Basic Network Scan with Credentials,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
31,imported,Azure TNS BP,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
21,imported,WebApp Only - No Credentials,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
39,completed,Demo PCI ASV External Scan,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
42,empty,Tenable Lab Target Public Scan,jmeneses.ctr@quick-lab-julian-meneses-2023-04-10-07-24-pm.training
